month,day,t,DemH1,DemH2,GenE,DemE,OwnUseF,OwnUse,TempOutM,DemH1 (MWh),DemH2/h(MWh),Electricity load (MWh)
Jun15,16,167,,,7929.12,6144.849999999999,892.135,0.11251374679661803,14.83,0.0,0.0,6144.849999999999
Jun15,17,168,6.015183399999984,,7477.12,5708.36,884.38,0.11827816057519473,19.35,6.990846147479981,0.0,5708.36
Jun15,18,169,1091.9060731999998,,7736.32,5977.121999999999,879.599,0.11369733930344143,20.27,1269.0132382730396,0.0,5977.121999999999
Jun15,19,170,1213.6127423,,7882.24,6122.618,879.811,0.11161941275576487,20.42,1410.46072910106,0.0,6122.618
Jun15,20,171,1275.8132131,,7881.6,6144.398000000001,868.601,0.11020617641088104,20.15,1482.7501162648198,0.0,6144.398000000001
Jun15,21,172,1240.9615409,,7579.36,5865.275999999999,857.042,0.11307577420784869,20.08,1442.24550283398,0.0,5865.275999999999
Jun15,22,173,1239.7214651999998,,7815.2,6104.32,855.44,0.10945849114546014,16.94,1440.8042868554396,0.0,6104.32
Jun15,23,174,1519.4480654999998,,8061.44,6314.715999999999,873.362,0.1083382125277866,18.83,1765.9025417240996,0.0,6314.715999999999
Jun15,24,175,1456.1433764999997,,8077.76,6297.562,890.099,0.11019131541417423,20.58,1692.3298321682996,0.0,6297.562
Jun15,25,176,1631.6517769000002,,7915.52,6142.352000000001,886.584,0.11200578104786545,23.33,1896.30569511318,0.0,6142.352000000001
Jun15,26,177,1568.7776565,,8075.68,6248.6,913.54,0.11312236245121153,17.35,1823.2333923842998,0.0,6248.6
Jun15,27,178,1706.3299777,,8137.76,6319.1759999999995,909.292,0.11173738227718684,16.58,1983.0967000829398,0.0,6319.1759999999995
Jun15,28,179,1754.4610544000002,,8141.28,6337.656,901.812,0.11077029656270268,17.54,2039.0346374236801,0.0,6337.656
Jun15,29,180,1739.483632,,8105.6,6295.456,905.072,0.11166008685353336,19.85,2021.6278771103998,0.0,6295.456
Jun15,30,181,1723.1492593000003,,8133.6,5283.212000000001,1425.194,0.17522302547457458,21.31,2002.64406915846,0.0,5283.212000000001
Jul15,1,183,1677.6222923,,8080.64,6261.598000000001,909.521,0.11255556490575003,23.19,1949.73262811106,0.0,6261.598000000001
Jul15,2,184,1590.3438856999999,,8001.12,6202.661999999999,899.229,0.11238789069530267,24.29,1848.2976639605397,0.0,6202.661999999999
Jul,3,185,1592.5913348,,8021.28,6230.158,895.561,0.11164814094508609,21.27,1850.9096493045597,0.0,6230.158
Jul15,4,186,1611.0611304000001,,8359.2,6507.588,925.806,0.11075294286534595,14.65,1872.37524575088,0.0,6507.588
Jul15,5,187,1657.4317323999999,,8485.92,6644.6939999999995,920.613,0.1084871174840206,9.09,1926.2671593952796,0.0,6644.6939999999995
Jul15,6,188,1836.8088398000004,,8542.4,6703.067999999999,919.666,0.10765897171755011,18.31,2134.7392336155604,0.0,6703.067999999999
Jul15,7,189,1857.8092886,,8289.12,6455.9180000000015,916.601,0.11057880691798405,20.06,2159.14595521092,0.0,6455.9180000000015
Jul15,8,190,1841.6899515,,7586.88,5943.202,821.839,0.10832371145978321,11.65,2140.4120616333,0.0,5943.202
